food_name,food_info
Auntie anne sour cream and onion pretzel,"Energi 360.00 kkal, Natrium 0.00 mg, Jumlah Sajian Per Kemasan 1.00 , Jumlah Per Sajian 1.00 biji, Protein 9.00 g, Karbohidrat total 68.00 g, Takaran Saji 127.00 g, Lemak total 5.00 g"
Auntie anne sweet almond pretzel,"Energi 390.00 kkal, Natrium 0.00 mg, Jumlah Sajian Per Kemasan 1.00 , Jumlah Per Sajian 1.00 biji, Protein 8.00 g, Karbohidrat total 74.00 g, Takaran Saji 131.00 g, Lemak total 6.00 g"
Ayam bacem,"Energi 147.00 kkal, Natrium 0.00 mg, Jumlah Sajian Per Kemasan 1.00 , Jumlah Per Sajian 1.00 potong, Protein 13.70 g, Karbohidrat total 8.30 g, Takaran Saji 100.00 g, Lemak total 6.70 g"
Ayam bakar,"Energi 226.00 kkal, Lemak total 15.00 g, Protein 23.00 g, Karbohidrat total 0.10 g, Natrium 335.00 mg"
Ayam brand chilli tuna,"Energi 100.00 kkal, Natrium 0.00 mg, Jumlah Sajian Per Kemasan 3.00 , Jumlah Per Sajian 1.00 potong, Protein 8.00 g, Karbohidrat total 3.00 g, Takaran Saji 46.00 g, Lemak total 6.00 g"
AYAM BRAND Jagung Manis ala krim,"Energi 25.00 kkal, Natrium 95.00 mg, Jumlah Sajian Per Kemasan 10.00 �, Jumlah Per Sajian 0.10 kaleng, Protein 1.00 g, Karbohidrat total 5.00 g, Takaran Saji 42.00 g, Lemak total 0.00 g"
AYAM BRAND Jagung Manis Pipil,"Energi 50.00 kkal, Natrium 210.00 mg, Jumlah Sajian Per Kemasan 3.00 �, Jumlah Per Sajian 0.30 sendok teh, Protein 2.00 g, Karbohidrat total 8.00 g, Takaran Saji 83.00 g, Lemak total 1.00 g"
AYAM BRAND Jamur Kancing,"Energi 15.00 kkal, Natrium 170.00 mg, Jumlah Sajian Per Kemasan 5.00 , Jumlah Per Sajian 0.20 kaleng, Protein 1.00 g, Karbohidrat total 2.00 g, Takaran Saji 42.00 g, Lemak total 0.00 g"
AYAM BRAND kacang,"Energi 110.00 kkal, Natrium 470.00 mg, Jumlah Sajian Per Kemasan 3.50 �, Jumlah Per Sajian 0.29 kaleng, Protein 5.00 g, Karbohidrat total 22.00 g, Takaran Saji 115.00 g, Lemak total 0.50 g"
Ayam brand tuna dalam air,"Energi 50.00 kkal, Natrium 0.00 mg, Jumlah Sajian Per Kemasan 3.00 , Jumlah Per Sajian 1.00 potong, Protein 13.00 g, Karbohidrat total 0.00 g, Takaran Saji 43.00 g, Lemak total 0.00 g"
AYAM BRAND Tuna dalam Mayonnaise,"Energi 70.00 kkal, Natrium 150.00 mg, Jumlah Sajian Per Kemasan 4.00 , Jumlah Per Sajian 0.25 sendok teh, Protein 4.00 g, Karbohidrat total 3.00 g, Takaran Saji 40.00 g, Lemak total 5.00 g"
Ayam brand tuna dalam minyak,"Energi 70.00 kkal, Natrium 0.00 mg, Jumlah Sajian Per Kemasan 3.00 , Jumlah Per Sajian 1.00 potong, Protein 0.00 g, Karbohidrat total 0.00 g, Takaran Saji 43.00 g, Lemak total 3.50 g"
Ayam geprek sa'i,"Energi 200.00 kkal, Natrium 55.00 mg, Jumlah Sajian Per Kemasan 250.00 , Jumlah Per Sajian 1.00 potong, Protein 26.00 g, Karbohidrat total 202.00 g, Takaran Saji 102.00 g, Lemak total 4.00 g"
"Ayam goreng church texas, dada","Energi 338.00 kkal, Lemak total 20.60 g, Protein 35.20 g, Karbohidrat total 0.40 g, Natrium 800.00 mg, B-Karoten 0.00 mcg, Karoten total 80.00 mcg, Air 42.20 g, Abu 1.50 g"
"Ayam goreng church texas, paha","Air 50.30 g, Energi 287.00 kkal, Protein 31.00 g, Lemak total 15.70 g, Karbohidrat total 1.70 g, Abu 1.30 g, Natrium 723.00 mg, B-Karoten 0.00 mcg, Karoten total 30.00 mcg"
"Ayam goreng church texas, sayap","Air 47.20 g, Energi 295.00 kkal, Protein 34.00 g, Lemak total 16.00 g, Karbohidrat total 1.50 g, Abu 1.30 g, Natrium 771.00 mg, B-Karoten 0.00 mcg, Karoten total 50.00 mcg"
"Ayam goreng kalasan, paha","Air 46.20 g, Energi 275.00 kkal, Protein 37.40 g, Lemak total 12.20 g, Karbohidrat total 1.30 g, Abu 2.90 g, Natrium 176.00 mg, B-Karoten 0.00 mcg, Karoten total 50.00 mcg"
"Ayam goreng kentucky, dada","Air 46.50 g, Energi 298.00 kkal, Protein 34.20 g, Lemak total 16.80 g, Karbohidrat total 0.10 g, Abu 2.50 g, Natrium 741.00 mg, B-Karoten 0.00 mcg, Karoten total 50.00 mcg"
"Ayam goreng kentucky, paha","Air 48.70 g, Energi 286.00 kkal, Protein 32.10 g, Lemak total 16.10 g, Karbohidrat total 1.10 g, Abu 2.00 g, Natrium 746.00 mg, B-Karoten 0.00 mcg, Karoten total 20.00 mcg"
"Ayam goreng kentucky, sayap","Air 44.70 g, Energi 297.00 kkal, Protein 35.90 g, Lemak total 15.20 g, Karbohidrat total 1.60 g, Abu 2.60 g, Natrium 807.00 mg, B-Karoten 0.00 mcg, Karoten total 70.00 mcg"
"Ayam goreng mbok berek, dada","Air 43.40 g, Energi 295.00 kkal, Protein 39.20 g, Lemak total 13.60 g, Karbohidrat total 1.00 g, Abu 2.80 g, Natrium 0.00 mg, B-Karoten 0.00 mcg, Karoten total 50.00 mcg"
"Ayam goreng pasundan, dada","Air 50.10 g, Energi 246.00 kkal, Protein 37.90 g, Lemak total 9.00 g, Karbohidrat total 0.70 g, Abu 2.30 g, Natrium 0.00 mg, B-Karoten 0.00 mcg, Karoten total 70.00 mcg"
"Ayam goreng pasundan, paha","Air 52.80 g, Energi 245.00 kkal, Protein 33.10 g, Lemak total 11.40 g, Karbohidrat total 0.30 g, Abu 2.50 g, Natrium 0.00 mg, B-Karoten 0.00 mcg, Karoten total 40.00 mcg"
"Ayam goreng poineer, dada","Air 44.50 g, Energi 295.00 kkal, Protein 37.40 g, Lemak total 14.70 g, Karbohidrat total 0.60 g, Abu 2.70 g, Natrium 0.00 mg, B-Karoten 0.00 mcg, Karoten total 80.00 mcg"
"Ayam goreng sukabumi, dada","Air 49.80 g, Energi 244.00 kkal, Protein 36.70 g, Lemak total 9.20 g, Karbohidrat total 1.00 g, Abu 3.40 g, Natrium 0.00 mg, B-Karoten 0.00 mcg, Karoten total 80.00 mcg"
"Ayam goreng sukabumi, paha","Air 46.00 g, Energi 283.00 kkal, Protein 35.70 g, Lemak total 14.30 g, Karbohidrat total 0.50 g, Abu 3.60 g, Natrium 0.00 mg, B-Karoten 0.00 mcg, Karoten total 60.00 mcg"
Ayam Rica-rica,"Energi 404.00 kkal, Natrium 0.00 mg, Jumlah Sajian Per Kemasan 1.00 , Jumlah Per Sajian 1.00 mangkuk/cup, Protein 40.99 g, Karbohidrat total 7.41 g, Takaran Saji 200.00 g, Lemak total 22.82 g"
